phase,label,method,run_id,commit,seed,eval_examples,correct,accuracy,train_steps,rollouts_per_step,effective_rollouts,learning_rate,alpha,top_k,evidence_source
baseline,zero-shot-128,none,00bd45c0-1306-4fb9-a230-420a4f2e8b36,24f8927,20260728,128,108,0.843750,0,0,0,,,32,orx_logs
scale-smoke,direct-12x8,opd,c3fed138-4c07-4f94-ae33-a554e9d441f7,54dd220,20260728,128,107,0.835938,12,1,96,0.000002,,32,terminal_capture_in_exp_desc
scale-smoke,w2s-12x8,w2s,89e0b983-6b6c-4187-88be-b805ea77bd76,d1778d5,20260728,128,106,0.828125,12,1,96,0.000002,1.0,32,terminal_capture_in_exp_desc
alpha-sweep,w2s-alpha-0.5,w2s,52056168-d2df-40ca-b9e1-e1e99b74826a,57fea8e,20260728,128,104,0.812500,12,1,96,0.000002,0.5,32,orx_logs
alpha-sweep,w2s-alpha-1.25,w2s,c620384f-f281-4fc0-a9fb-c684d782fd3f,2f0478c,20260728,128,105,0.820312,12,1,96,0.000002,1.25,32,orx_logs
alpha-sweep,w2s-alpha-1.5,w2s,685e0ddc-9efd-4a51-8e48-f934ba091c21,e937870,20260728,128,103,0.804688,12,1,96,0.000002,1.5,32,orx_logs
alpha-sweep,w2s-alpha-2.0,w2s,d7ed9405-81bb-445e-97d7-51c5a5adfe83,c1a93da,20260728,128,104,0.812500,12,1,96,0.000002,2.0,32,orx_logs
small-horizon,w2s-3x8,w2s,d8c38298-f354-4067-bc67-fbc2efb1ec88,2d00c4f,20260728,128,101,0.789062,3,1,24,0.000002,1.0,32,orx_logs
small-horizon,w2s-6x8,w2s,0e4bcad1-a68f-4652-a190-d5936814723b,499ba93,20260728,128,109,0.851562,6,1,48,0.000002,1.0,32,orx_logs
small-horizon,w2s-9x8,w2s,2fb3e2ec-067d-46d3-91bf-abca2041c3bd,6d6d720,20260728,128,107,0.835938,9,1,72,0.000002,1.0,32,orx_logs
top-k,w2s-topk-16,w2s,4eed7edf-3708-4aa5-8c71-1948c0ff9db8,c69aa8f,20260728,128,106,0.828125,6,1,48,0.000002,1.0,16,orx_logs
top-k,w2s-topk-32,w2s,0e4bcad1-a68f-4652-a190-d5936814723b,499ba93,20260728,128,109,0.851562,6,1,48,0.000002,1.0,32,orx_logs
top-k,w2s-topk-64,w2s,f3f24880-870d-4afe-a8d9-d72e60134d2e,2df6f3f,20260728,128,107,0.835938,6,1,48,0.000002,1.0,64,orx_logs
top-k,w2s-topk-128,w2s,e3162a34-4093-45b7-80f9-b18f670976d3,453f404,20260728,128,104,0.812500,6,1,48,0.000002,1.0,128,orx_logs
